S.No,Date,Tele Caller,Description ,Contact Number,Status,Source,Category,Call Type,Remarks,Company
227,26-04-22,Muniswari,Junk Lead,9585589266,Duplicate,CRM,Residence,Inactive,Nil,Budanta
228,26-04-22,Muniswari,Junk Lead,9585589266,Duplicate,CRM,Residence,Inactive,Nil,Budanta
229,26-04-22,Muniswari,Junk Lead,8760421101,Not interested ,CRM,Residence,Inactive,Nil,Budanta
230,26-04-22,Muniswari,Junk Lead,9698570391,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
231,26-04-22,Muniswari,Junk Lead,9123504291,Invalid number,CRM,Residence,Inactive,Nil,Budanta
232,26-04-22,Muniswari,Junk Lead,9597215129,Not required,CRM,Residence,Inactive,Nil,Budanta
233,26-04-22,Muniswari,Junk Lead,9364647488,Duplicate,CRM,Residence,Inactive,Nil,Budanta
234,26-04-22,Muniswari,Junk Lead,7373547537,Duplicate,CRM,Residence,Inactive,Nil,Budanta
235,26-04-22,Muniswari,Junk Lead,9364647488,Duplicate,CRM,Residence,Inactive,Nil,Budanta
236,26-04-22,Muniswari,Junk Lead,7373547537,Duplicate,CRM,Residence,Inactive,Nil,Budanta
237,26-04-22,Muniswari,Junk Lead,9942936363,Not interested ,CRM,Residence,Inactive,Nil,Budanta
238,26-04-22,Muniswari,Junk Lead,7373519344,Not interested ,CRM,Residence,Inactive,Nil,Budanta
239,26-04-22,Muniswari,Junk Lead,9597271018,Not interested ,CRM,Residence,Inactive,Nil,Budanta
240,26-04-22,Muniswari,Junk Lead,8760421101,Duplicate,CRM,Residence,Inactive,Nil,Budanta
241,26-04-22,Muniswari,Junk Lead,9659040821,Not interested ,CRM,Residence,Inactive,Nil,Budanta
242,26-04-22,Muniswari,Junk Lead,7358879950,Invalid number,CRM,Residence,Inactive,Nil,Budanta
243,26-04-22,Muniswari,Junk Lead,9698529778,Invalid number,CRM,Residence,Inactive,Nil,Budanta
244,26-04-22,Muniswari,Junk Lead,9994050666,Not required,CRM,Residence,Inactive,Nil,Budanta
245,26-04-22,Muniswari,Junk Lead,9965040145,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
246,26-04-22,Muniswari,Junk Lead,9965450666,Duplicate,CRM,Residence,Inactive,Nil,Budanta
247,26-04-22,Muniswari,Junk Lead,9688446458,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
248,26-04-22,Muniswari,Junk Lead,9442747559,Not interested ,CRM,Residence,Inactive,Nil,Budanta
249,26-04-22,Muniswari,Junk Lead,9788282533,Duplicate,CRM,Residence,Inactive,Nil,Budanta
250,26-04-22,Muniswari,Junk Lead,9442747559,Duplicate,CRM,Residence,Inactive,Nil,Budanta
251,26-04-22,Muniswari,Junk Lead,9585589266,Duplicate,CRM,Residence,Inactive,Nil,Budanta
252,26-04-22,Muniswari,Junk Lead,8825658718,Duplicate,CRM,Residence,Inactive,Nil,Budanta
253,26-04-22,Muniswari,Junk Lead,9159214777,Ringing no response,CRM,Residence,Inactive,Nil,Budanta
254,26-04-22,Muniswari,Junk Lead,9600000000,Duplicate,CRM,Residence,Inactive,Nil,Budanta
